city,library,msIdentifier,msItem,extent,Diktyon,origDate_notBefore,origDate_notAfter,affiliation_naoumides,note,studied
Paris,Bibliothèque nationale de France,Gr. 2656,,ff. 1-104,52291,1100,1200,rec. v,,yes
Paris,Bibliothèque nationale de France,Gr. 2659,,ff. 1-154v,52294,1100,1200,rec. v,,yes
Paris,Bibliothèque nationale de France,Gr. 2660,,ff. 1-106,52295,1100,1200,partial witness of the Synangoge,"Cyril from α to ι, Synagoge from κ to ω",yes
Paris,Bibliothèque nationale de France,Gr. 2661,,ff. 1-4,52296,1300,1400,rec. g,,yes
Paris,Bibliothèque nationale de France,Gr. 2664,,ff. 1-187,52300,1300,1400,NOT CYR. - Zonaras,,yes
Paris,Bibliothèque nationale de France,Gr. 2664A,,entire manuscript,52300,,,rec. g,,yes
Paris,Bibliothèque nationale de France,Gr. 2666,,ff. 3-108,52302,1400,1500,rec. g,,yes
Paris,Bibliothèque nationale de France,Gr. 2667,,ff. 1-135,52303,1400,1500,NOT CYR. - Zonaras,,yes
Paris,Bibliothèque nationale de France,Gr. 2668,,ff. 1-354,52304,1700,1800,NOT CYR. - Zonaras,,yes
Paris,Bibliothèque nationale de France,Gr. 2672,,ff. 1-146,52308,1300,1400,rec. g,,yes
Paris,Bibliothèque nationale de France,Gr. 2673,,ff. 1-190v,52309,1300,1400,rec. g,,yes
Patmos,Μονή του Αγίου Ιωάννου του Θεολόγου,321,,/,54565,1350,1450,likely not Cyr.,,no
Patmos,Μονή του Αγίου Ιωάννου του Θεολόγου,322,,/,54566,1100,1200,likely not Cyr.,,no
Patmos,Μονή του Αγίου Ιωάννου του Θεολόγου,601,,ff. 1r-234v,54842,1400,1500,rec g,beginning and end missing,no
Patmos,Μονή του Αγίου Ιωάννου του Θεολόγου,665,,first item of the manuscript,54904,1600,1700,likely not Cyr.,,no
Perugia,Biblioteca Augusta,G 83,,entire manuscript,55412,1400,1500,,,no
Praha,Knihovna Národního muzea,1 Da 05 + X F 50,,entire manuscript,55538,1200,1300,,,yes
Rome,Biblioteca Angelica,Gr. 6,,ff. 1-241v,55913,1500,1600,"rec. g; contamination with Zonaras: see Naoumides 1974, 447",,yes
Rome,Biblioteca Vallicelliana,E 11,,ff. 2-236,56320,800,1000,rec. a,,yes
Rome,Biblioteca Vallicelliana,E 37,,ff. 1-66,56325,1200,1400,rec. v,,yes
Rome,Biblioteca Vallicelliana,F 84,,ff. 1-141v,56361,1100,1200,rec. g,,yes
Sélestat,Bibliothèque Municipale,105,,ff. 1-168v,58091,900,1100,rec. v,,yes
Sinai,Μονή της Αγίας Αικατερίνης,1202,,entire manuscript,59577,,,probably Zonaras?,,yes
Sinai,Μονή της Αγίας Αικατερίνης,1203,,entire manuscript,59578,,,NOT CYR. - Zonaras,,yes
Sinai,Μονή της Αγίας Αικατερίνης,1205,,ff. 282v-301v,59580,,,rec. v,,yes
Sinai,Μονή της Αγίας Αικατερίνης,1369,,entire manuscript,59744,,,NOT CYR. - Zonaras,,yes
Sinai,Μονή της Αγίας Αικατερίνης,1372,,entire manuscript,59747,,,NOT CYR. - Zonaras,,yes
Sinai,Μονή της Αγίας Αικατερίνης,1683,,entire manuscript,60058,1600,1700,questionable affiliation,attributed to Cyril in the title,yes
Trebisonda,Μονή Σουμελά,78 [lost],,/,80223,1300,1400,,,no
Uppsala,Universitetsbibliotek,Gr. 10,,/,64423,1300,1400,questionable affiliation,fragm.,yes
Uppsala,Universitetsbibliotek,Gr. 18,,ff. 1r-188v,64431,1300,1400,partial witness of the Synangoge,"Cyril from α to ι, Synagoge from κ to ω",yes
Utrecht,Universiteitsbibliotheek,"1.C.03 (T. 18, Omont 49)",,entire manuscript,64509,1700,1800,rec. v,,yes
Vatican City,Biblioteca Apostolica Vaticana,Barb. Gr. 10,,/,64558,1400,1500,NOT CYR.,,no
Vatican City,Biblioteca Apostolica Vaticana,Barb. Gr. 39,,ff. 1r-76v,64587,1200,1300,rec. v,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 344,,ff. 135v-sgg.,66975,1300,1400,rec. g,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 867,,ff. 44v-179v,67498,1257,1259,rec. g,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 868,,entire manuscript,67499,1300,1325,NOT CYR. - Zonaras,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 869,,entire manuscript,67500,1300,1325,rec. v,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 874,,ff. 103r-240r,67505,1350,1450,rec. g ,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 875,,ff. 1-286,67506,1275,1325,NOT CYR. - Zonaras,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 1841,,ff. 1r-103v,68470,1200,1400,independ. ms.,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 1869,,entire manuscript,68498,1300,1400,partial witness of the Synangoge,"Cyril from α to ι, Synagoge from κ to ω",yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 2152,,entire manuscript,68782,?,?,questionable affiliation,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 2164,,ff. 1r-73r,68794,1500,1600,rec. v,,yes
Vatican City,Biblioteca Apostolica Vaticana,Vat. Gr. 2130,,ff. 1r-154r,68760,1100,1200,rec. v,,yes
Vatican City,Biblioteca Apostolica Vaticana,Reg. Gr. Pio II 44,,ff. 1r-146v,66403,1500,1600,rec. g,,yes
Vatican City,Biblioteca Apostolica Vaticana,Ott. Gr. 170,,entire manuscript,65413,1400,1500,rec. v,,yes
Vatican City,Biblioteca Apostolica Vaticana,Ott. Gr. 259,,ff. 1-221,65502,1200,1300,rec. g,,yes
Vatican City,Biblioteca Apostolica Vaticana,Ott. Gr. 338,,ff. 150-179v,65581,1500,1510,,NOT CYR.,yes
Vatican City,Biblioteca Apostolica Vaticana,Pal. Gr. 195,,ff. 1r-74r,65927,1400,1500,"close to rec. g, but abbreviated, reworked and interpolated",,yes
Vatican City,Biblioteca Apostolica Vaticana,Reg. Gr. 129,,entire manuscript,66299,1500,1600,independ. ms.,A- only,no
Vatican City,Biblioteca Apostolica Vaticana,Urb. Gr. 157,,ff. 1r-125r,66624,1000,1200,rec. v,,yes
Venice,Biblioteca Nazionale Marciana,Gr. X.30,,ff. 3r-217v,70624,1350,1400,rec. g,,yes
Venice,Biblioteca Nazionale Marciana,Gr. XI.24,,ff. 82-95v,70660,1475,1525,questionable affiliation,,yes
Venice,Biblioteca Nazionale Marciana,Gr. Z. 578,,ff. 168r-223r,70049,1363,1364,rec. g,,no
Wien,Österreichische Nationalbibliothek,Phil. gr. 171,,ff. 1r-355r,71285,1300,1400,,,no
Wien,Österreichische Nationalbibliothek,Phil. gr. 212,,ff. 1r-203v,71326,1400,1500,rec. g,,no
Wien,Österreichische Nationalbibliothek,Phil. gr. 244,,ff. 1r-282r ,71358,1500,1600,rec. g,,no
Wien,Österreichische Nationalbibliothek,Phil. gr. 319,,ff. 1r-115r ,71433,1350,1450,rec. g,,no
Zavorda,Μονή Νικάνορος,95,,ff. 57r-76r,72377,1200,1300,,,no
